APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
parola,sorgum(jawar),2015,-365.0,-365.0,jalgaon,maharashtra
parola,sorgum(jawar),2016,-346.5,-346.5,jalgaon,maharashtra
vaijapur,mustard,2014,400.0,-1318.0,aurangabad,maharashtra
vaijapur,mustard,2015,311.0,-88.0,aurangabad,maharashtra
nandurbar,maize,2014,-195.5,-358.0,nandurbar,maharashtra
nandurbar,maize,2015,-90.83333333333326,-89.58333333333326,nandurbar,maharashtra
nandurbar,maize,2016,11.454545454545496,-56.27272727272725,nandurbar,maharashtra
murtizapur,sorgum(jawar),2014,-152.0,-152.0,akola,maharashtra
shegaon,bajri,2014,-16.0,-328.0,buldhana,maharashtra
rahata,wheat(husked),2014,16.5,-440.25,ahmadnagar,maharashtra
rahata,wheat(husked),2015,-106.09090909090901,-103.36363636363626,ahmadnagar,maharashtra
shirpur,maize,2014,-361.75,-489.0,dhule,maharashtra
shirpur,maize,2015,-209.25,-221.75,dhule,maharashtra
shirpur,maize,2016,-132.72727272727275,-182.18181818181824,dhule,maharashtra
ambejogai,sorgum(jawar),2014,314.25,-306.75,beed,maharashtra
ambejogai,sorgum(jawar),2016,102.81818181818176,-8.0,beed,maharashtra
pusad,rice(paddy-hus),2015,-700.0,-700.0,yewatmal,maharashtra
pusad,rice(paddy-hus),2016,-680.0,-680.0,yewatmal,maharashtra
parola,maize,2015,-98.0,-98.0,jalgaon,maharashtra
parola,maize,2016,-39.90000000000009,-39.90000000000009,jalgaon,maharashtra
dhule,bajri,2014,-231.75,-420.5,dhule,maharashtra
dhule,bajri,2015,-94.0,-109.70000000000005,dhule,maharashtra
khamgaon,mustard,2015,-306.4000000000001,-306.4000000000001,buldhana,maharashtra
udgir,pigeon pea (tur),2014,189.5,-1120.75,latur,maharashtra
bori,pigeon pea (tur),2016,-37.5,-37.5,parbhani,maharashtra
taloda,sorgum(jawar),2014,-33.33333333333326,-590.3333333333334,nandurbar,maharashtra
taloda,sorgum(jawar),2015,-187.77777777777783,-171.44444444444434,nandurbar,maharashtra
taloda,sorgum(jawar),2016,-137.20000000000005,-446.4000000000001,nandurbar,maharashtra
ambad(vadi godri),sorgum(jawar),2014,-319.0,-849.5,jalna,maharashtra
ambad(vadi godri),sorgum(jawar),2015,-358.8571428571429,-395.7142857142858,jalna,maharashtra
ambad(vadi godri),sorgum(jawar),2016,-126.70000000000005,-240.29999999999995,jalna,maharashtra
wardha,sorgum(jawar),2015,-220.33333333333326,-220.33333333333326,wardha,maharashtra
wardha,sorgum(jawar),2016,-332.57142857142867,-332.57142857142867,wardha,maharashtra
jawala-bajar,pigeon pea (tur),2014,0.0,-1585.0,hingoli,maharashtra
pachora,wheat(husked),2015,-84.66666666666674,-84.66666666666674,jalgaon,maharashtra
kej,sorgum(jawar),2014,196.0,-358.33333333333326,beed,maharashtra
kej,sorgum(jawar),2016,65.4545454545455,-124.5454545454545,beed,maharashtra
bhokardan-pimpalgaon renu,wheat(husked),2014,23.75,-501.75,jalna,maharashtra
bhokardan-pimpalgaon renu,wheat(husked),2015,-75.5,-96.0,jalna,maharashtra
umarkhed,cotton,2014,96.0,-528.0,yewatmal,maharashtra
umarkhed,cotton,2015,190.0,-89.0,yewatmal,maharashtra
udgir,sorgum(jawar),2014,-568.75,-876.5,latur,maharashtra
udgir,sorgum(jawar),2015,-504.0999999999999,-509.4000000000001,latur,maharashtra
udgir,sorgum(jawar),2016,-292.44444444444434,-510.33333333333326,latur,maharashtra
shevgaon-bodhegaon,maize,2014,-350.0,-350.0,ahmadnagar,maharashtra
shevgaon-bodhegaon,maize,2015,-171.33333333333326,-171.33333333333326,ahmadnagar,maharashtra
paithan,bajri,2014,103.5,-594.5,aurangabad,maharashtra
paithan,bajri,2015,-35.33333333333326,-84.88888888888891,aurangabad,maharashtra
paithan,bajri,2016,60.44444444444434,-100.77777777777783,aurangabad,maharashtra
jintur,safflower,2014,-703.5,-1291.5,parbhani,maharashtra
jintur,safflower,2015,-950.0,-1025.0,parbhani,maharashtra
kille dharur,pigeon pea (tur),2014,-916.0,-1810.0,beed,maharashtra
mandhal,cotton,2015,201.5,-828.0,nagpur,maharashtra
dound,sorgum(jawar),2014,326.5,-278.5,pune,maharashtra
chopda,sorgum(jawar),2014,-185.25,-672.25,jalgaon,maharashtra
chopda,sorgum(jawar),2015,-325.0,-319.75,jalgaon,maharashtra
chopda,sorgum(jawar),2016,-152.20000000000005,-428.5999999999999,jalgaon,maharashtra
gevrai,sorgum(jawar),2014,15.25,-593.75,beed,maharashtra
gevrai,sorgum(jawar),2015,-151.5,-139.75,beed,maharashtra
gevrai,sorgum(jawar),2016,19.0,-243.72727272727275,beed,maharashtra
pachora,rice(paddy-hus),2015,-79.0,-79.0,jalgaon,maharashtra
pachora,rice(paddy-hus),2016,-89.75,-89.75,jalgaon,maharashtra
akhadabalapur,sorgum(jawar),2014,-50.0,-559.0,hingoli,maharashtra
akhadabalapur,sorgum(jawar),2015,-147.875,-147.25,hingoli,maharashtra
akhadabalapur,sorgum(jawar),2016,-123.88888888888891,-219.55555555555566,hingoli,maharashtra
murtizapur,pigeon pea (tur),2014,248.0,-1106.0,akola,maharashtra
sangali,maize,2014,40.0,-577.0,sangli,maharashtra
sangali,maize,2015,107.27272727272725,-6.090909090909008,sangli,maharashtra
kalamnuri,wheat(husked),2014,150.0,-50.0,hingoli,maharashtra
basmat,cotton,2014,275.0,-725.0,hingoli,maharashtra
